case_id,baseline_wall_s,primary_binding_signature,all_actionable_signatures,target_side,achieved_sides,target_side_ever_achieved,best_pass_count,best_constraint_vector,failure_reason,projected_size,f_target,unique_candidates,budget_exhausted,A_wall_s,A_rescue_triggered,A_rescue_evals,A_rescue_won,A_accepted,B_wall_s,B_rescue_triggered,B_rescue_evals,B_rescue_won,B_accepted
3,72.625,TWO_MISS_SIDE_TARGET,TWO_MISS_SIDE_TARGET,right,{},False,3,"{""side"": false, ""vis"": 1978, ""target"": -0.08730570984469083, ""G1"": 1, ""G2"": 0}",bounded_local_search_exhausted,0.5505824081795355,0.20730570984469082,41,9,,,,,,,,,,
4,59.089,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 15}",True,4,"{""side"": true, ""vis"": 2351, ""target"": 0.03821880855106341, ""G1"": -2, ""G2"": 1}",bounded_local_search_exhausted,0.2575001502880079,0.42654963055699835,57,9,65.78,True,6,False,False,67.213,True,8,False,False
7,20.798,MULTI_CONSTRAINT,,bottom,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.1429645435228422, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9008782028473707,0.2629645435228422,11,2,,,,,,,,,,
30,64.309,MULTI_CONSTRAINT,,left,{},False,2,"{""side"": false, ""vis"": -8, ""target"": -0.09813793003112078, ""G1"": 1, ""G2"": 0}",bounded_local_search_exhausted,0.7993471181563221,0.21813793003112078,49,6,,,,,,,,,,
32,68.941,MULTI_CONSTRAINT,,right,{},False,2,"{""side"": false, ""vis"": 4317, ""target"": -0.05802966484806918, ""G1"": 2, ""G2"": -1}",bounded_local_search_exhausted,0.3331675541161875,0.17802966484806917,55,9,,,,,,,,,,
34,73.673,ONE_MISS_SIDE,ONE_MISS_SIDE|ONE_MISS_TARGET|TWO_MISS_G1_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""right"": 16, ""center"": 10, ""left"": 15, ""bottom"": 2}",True,4,"{""side"": false, ""vis"": 4315, ""target"": 0.050499572102274015, ""G1"": 0, ""G2"": 0}",bounded_local_search_exhausted,0.4823709757869806,0.2343686197213216,53,9,,,,,,,,,,
54,25.516,MULTI_CONSTRAINT,,bottom,{},False,2,"{""side"": false, ""vis"": 31, ""target"": -0.17172857383466517, ""G1"": 4, ""G2"": -1}",bounded_local_search_exhausted,0.5190747706870723,0.29172857383466516,33,6,,,,,,,,,,
55,51.111,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""left"": 2, ""right"": 2, ""center"": 8}",False,4,"{""side"": false, ""vis"": 612, ""target"": 0.012251297370442837, ""G1"": 0, ""G2"": 1}",bounded_local_search_exhausted,0.7695802147735195,0.13080422137872902,42,10,,,,,,,,,,
58,65.303,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_G1_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""center"": 44, ""left"": 7, ""right"": 6}",False,4,"{""side"": false, ""vis"": 1351, ""target"": 0.0023776959460480585, ""G1"": 0, ""G2"": 0}",bounded_local_search_exhausted,0.2782466542773299,0.14775433727293127,57,9,72.449,True,6,False,False,76.199,True,8,False,False
62,53.368,ONE_MISS_TARGET,ONE_MISS_TARGET,right,"{""right"": 3}",True,4,"{""side"": true, ""vis"": 86, ""target"": -0.2323953813982622, ""G1"": 2, ""G2"": 0}",bounded_local_search_exhausted,0.2784652824470185,0.3765922942059385,58,10,,,,,,,,,,
69,96.739,ONE_MISS_G2,ONE_MISS_G2|ONE_MISS_TARGET|TWO_MISS_G1_TARGET|TWO_MISS_G2_TARGET,right,"{""right"": 55, ""center"": 4}",True,4,"{""side"": true, ""vis"": 1965, ""target"": 0.10440631851193541, ""G1"": 2, ""G2"": -1}",bounded_local_search_exhausted,0.3282420514463391,0.19727292210701583,66,11,100.546,False,0,False,False,100.664,False,0,False,False
79,32.888,MULTI_CONSTRAINT,,bottom,{},False,2,"{""side"": false, ""vis"": 432, ""target"": -0.045881364285956794, ""G1"": 1, ""G2"": -1}",bounded_local_search_exhausted,0.5624476235036654,0.1658813642859568,33,7,33.318,True,2,False,False,32.939,True,2,False,False
91,63.784,TWO_MISS_G1_SIDE,TWO_MISS_G1_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_G2_TARGET,bottom,"{""center"": 46, ""left"": 9, ""right"": 4, ""bottom"": 1}",True,3,"{""side"": false, ""vis"": 147, ""target"": 0.11319055137065825, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.09935461304438288,0.14280944862934175,57,9,,,,,,,,,,
98,137.012,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,left,"{""center"": 7, ""left"": 30, ""bottom"": 1, ""right"": 1}",True,4,"{""side"": true, ""vis"": 391, ""target"": 0.09865521986092762, ""G1"": -2, ""G2"": 1}",bounded_local_search_exhausted,0.1613355722507961,0.24634478013907238,57,9,158.446,True,6,False,False,167.77,True,8,False,False
100,71.899,TWO_MISS_G1_SIDE,TWO_MISS_G1_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_SIDE_TARGET,right,"{""bottom"": 27, ""right"": 4, ""center"": 9}",True,3,"{""side"": false, ""vis"": 786, ""target"": 0.04857939557430979, ""G1"": -1, ""G2"": 1}",bounded_local_search_exhausted,0.09591812620867338,0.4010295429731762,55,10,,,,,,,,,,
102,47.097,MULTI_CONSTRAINT,,left,{},False,2,"{""side"": false, ""vis"": 495, ""target"": -0.0652509059040689, ""G1"": 1, ""G2"": -1}",bounded_local_search_exhausted,0.7975812203283549,0.1852509059040689,49,9,,,,,,,,,,
109,45.75,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_SIDE|TWO_MISS_G1_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""center"": 34, ""bottom"": 1, ""left"": 3, ""right"": 3}",True,4,"{""side"": true, ""vis"": 10590, ""target"": 0.03160564944124078, ""G1"": -1, ""G2"": 0}",bounded_local_search_exhausted,0.24560665379937663,0.3356562823526332,49,9,66.595,True,2,True,True,64.322,True,2,True,True
112,32.52,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 12}",True,4,"{""side"": true, ""vis"": 8554, ""target"": 0.03269602600953164, ""G1"": -4, ""G2"": 0}",bounded_local_search_exhausted,0.5255443670771405,0.40366298099237796,49,9,53.272,True,6,False,False,54.489,True,8,False,False
118,47.597,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 12}",True,4,"{""side"": true, ""vis"": 4208, ""target"": 0.0099152109435508, ""G1"": -4, ""G2"": 0}",bounded_local_search_exhausted,0.43762620573597755,0.2957990747707349,49,9,75.408,True,6,False,False,77.513,True,8,False,False
120,28.766,MULTI_CONSTRAINT,,bottom,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.054973353207512565, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.09673836897228094,0.17497335320751256,49,6,,,,,,,,,,
128,69.246,ONE_MISS_SIDE,ONE_MISS_SIDE|TWO_MISS_SIDE_TARGET,right,"{""center"": 9, ""bottom"": 16}",False,4,"{""side"": false, ""vis"": 8065, ""target"": 0.08325617746677516, ""G1"": 0, ""G2"": 0}",bounded_local_search_exhausted,0.5340155169561249,0.2706757082905613,49,9,,,,,,,,,,
