file,old,new,occurrences,status,reason
_docs/attribution_cc-by_appendix.md,gap-fill로 추가(2026-07-24). 저장: `data/pallet/distractors/{tier}/sf__<name>/`.,gap-fill로 추가(2026-07-24). 저장: `data/pallet/assets/distractors/library/{tier}/sf__<name>/`.,1,FIXED,CC-BY 표기 문서의 자산 위치 갱신
_docs/attribution_cc-by_appendix.md,"- **Distractor — Google Scanned Objects (128종, CC-BY 4.0)** — *2026-07-24 D 확장: 32 → 128 (+96)*. 저작자 = Google Research, via Gazebo Fuel(GoogleResearch). 확장분 96종 구성: box 39 · container 31 · office 14 · warehouse 10 · other 2. 개별 모델 URL·이름은 `data/pallet/distractors/distractors_manifest.csv`(`source=gso`, `url` 열 = `https://app.gazebosim.org/GoogleResearch/fuel/models/<name>`) 및 각 폴더 `SOURCES.txt` 참조. 표기: `Google Scanned Objects, Google Research, CC BY 4.0.`","- **Distractor — Google Scanned Objects (128종, CC-BY 4.0)** — *2026-07-24 D 확장: 32 → 128 (+96)*. 저작자 = Google Research, via Gazebo Fuel(GoogleResearch). 확장분 96종 구성: box 39 · container 31 · office 14 · warehouse 10 · other 2. 개별 모델 URL·이름은 `data/pallet/assets/distractors/library/distractors_manifest.csv`(`source=gso`, `url` 열 = `https://app.gazebosim.org/GoogleResearch/fuel/models/<name>`) 및 각 폴더 `SOURCES.txt` 참조. 표기: `Google Scanned Objects, Google Research, CC BY 4.0.`",1,FIXED,CC-BY 표기 문서의 자산 위치 갱신
_docs/attribution_cc-by_appendix.md,"- **배경 glTF (2종, CC-BY 4.0)**: `modular_buildings_industrial_area` (author BazukaliKartal), `parking_lot` (author Veterock) — 정확 URL은 `data/pallet/background/<name>/license.txt` 참조.","- **배경 glTF (2종, CC-BY 4.0)**: `modular_buildings_industrial_area` (author BazukaliKartal), `parking_lot` (author Veterock) — 정확 URL은 `data/pallet/assets/scenes/backgrounds/background/<name>/license.txt` 참조.",1,FIXED,CC-BY 표기 문서의 자산 위치 갱신
_docs/dataset_license_ledger.md,modular_buildings_industrial_area data/pallet/background/modular_buildings.../   Sketchfab  BazukaliKartal   CC-BY 4.0   Y*    *표시 필수(B5),modular_buildings_industrial_area assets/.../background/modular_buildings.../     Sketchfab  BazukaliKartal   CC-BY 4.0   Y*    *표시 필수(B5),1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/dataset_license_ledger.md,parking_lot                       data/pallet/background/parking_lot/            Sketchfab  Veterock         CC-BY 4.0   Y*    *표시 필수(B5),parking_lot                       assets/.../background/parking_lot/              Sketchfab  Veterock         CC-BY 4.0   Y*    *표시 필수(B5),1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/dataset_license_ledger.md,GSO ×128                  data/pallet/distractors/{tier}/(gso__*)  Google Scanned Objects CC-BY 4.0   Y*    *표시 필수(B5); 32→128(D확장),GSO ×128                  assets/distractors/library/{tier}/(gso__*)  Google Scanned Objects CC-BY 4.0   Y*    *표시 필수(B5); 32→128(D확장),1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/dataset_license_ledger.md,Poly Haven ×65            data/pallet/distractors/{tier}/(ph__*)   Poly Haven             CC0 1.0     Y     -,Poly Haven ×65            assets/distractors/library/{tier}/(ph__*)   Poly Haven             CC0 1.0     Y     -,1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/dataset_license_ledger.md,Sketchfab ×16             data/pallet/distractors/{tier}/(sf__*)   Sketchfab              CC-BY 4.0   Y*    *표시 필수(B5),Sketchfab ×16             assets/distractors/library/{tier}/(sf__*)   Sketchfab              CC-BY 4.0   Y*    *표시 필수(B5),1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/dataset_license_ledger.md,"train_palletobj_v1/v2/v3         data/pallet/train_palletobj_v{1,2,3}/       팔레트=자작 OBJ, floor=CC0, occluder=CC0/CC-BY → B5만","train_palletobj_v1/v2/v3         archive/train_palletobj_v{1,2,3}/            팔레트=자작 OBJ, floor=CC0, occluder=CC0/CC-BY → B5만",1,FIXED,라이선스 원장의 저장경로 열 갱신 + B7/B8 추가
_docs/method/step1_synthetic_data.md,4종 USD 팔레트 모델 사용 (`data/pallet/models_usd/scene*.usd`).,4종 USD 팔레트 모델 사용 (`data/pallet/assets/pallets/models/models_usd/scene*.usd`).,1,FIXED,USD 모델 경로 갱신
_docs/preprocessing/data_pipeline.md,python scripts/data_prep/visualize_annotations.py --data_dir data/pallet/training_data/train,python scripts/data_prep/visualize_annotations.py --data_dir data/pallet/archive/training_data/train,1,FIXED,배경 자산·학습 데이터 경로 갱신
_docs/preprocessing/data_pipeline.md,### 배경 에셋 (`data/pallet/background/`),### 배경 에셋 (`data/pallet/assets/scenes/backgrounds/background/`),1,FIXED,배경 자산·학습 데이터 경로 갱신
_docs/preprocessing/data_pipeline.md,data/pallet/training_data/,data/pallet/archive/training_data/,1,FIXED,배경 자산·학습 데이터 경로 갱신
config/default.yaml,train_dir: data/pallet/training_data/train,train_dir: data/pallet/archive/training_data/train,1,FIXED,학습/검증 입력 경로가 archive 이동분을 가리키지 않았다
config/default.yaml,val_dir: data/pallet/training_data/val,val_dir: data/pallet/archive/training_data/val,1,FIXED,학습/검증 입력 경로가 archive 이동분을 가리키지 않았다
config/stage3_selftrain.yaml,synthetic_data: data/pallet/training_data/train,synthetic_data: data/pallet/archive/training_data/train,1,FIXED,self-training 입력·pretrained weight 경로 정정
config/stage3_selftrain.yaml,pretrained_weights: weights/pallet_category/net_pallet_best.pth,pretrained_weights: weights/pallet_category/final_net_epoch_0060.pth,1,FIXED,self-training 입력·pretrained weight 경로 정정
config/stage3_selftrain.yaml,val_dir: data/pallet/training_data/val,val_dir: data/pallet/archive/training_data/val,1,FIXED,self-training 입력·pretrained weight 경로 정정
config/synthetic/blender_train_4000.yaml,"""base_dir"": ""data/pallet/training_data"",","""base_dir"": ""data/pallet/training_data_v11"",",1,FIXED,출력 base_dir 를 현행 dataset 이름으로
config/synthetic/isaac_sim.yaml,(신규),"""// gltf_dir"": ""★ MISSING_ASSET — data/pallet/pallet_scene 은 이 저장소에 존재하지 않는다. Stage 1 인벤토리에도 없고 Stage 2-A/B/C2 어느 원장도 옮기지 않았다 = Stage 2 회귀가 아니라 원래부터 부재(다른 워크스테이션 자산). Isaac 파이프라인 실행 전 이 자산을 확보해야 한다."",",1,ADDED,procedural texture 경로 archive 이동 + 기본 출력 dir + 부재 자산 주석
config/synthetic/isaac_sim.yaml,"""default_output_dir"": ""data/pallet/training_data"",","""// default_output_dir"": ""Stage 2-D0.1: 출력 경로. training_data 는 archive/ 로 내려갔고 NoAI baked 라 릴리스 제외 대상 — 새 출력은 archive 밖으로 낸다."",",1,FIXED,procedural texture 경로 archive 이동 + 기본 출력 dir + 부재 자산 주석
config/synthetic/isaac_sim.yaml,(신규),"""default_output_dir"": ""data/pallet/training_data_isaac"",",1,ADDED,procedural texture 경로 archive 이동 + 기본 출력 dir + 부재 자산 주석
config/synthetic/isaac_sim.yaml,"""procedural_texture_dir"": ""data/pallet/_procedural_textures""","""// procedural_texture_dir"": ""Stage 2-D0.1: archive/ 아래로 내려간 실제 현재 위치로 정정"",",1,FIXED,procedural texture 경로 archive 이동 + 기본 출력 dir + 부재 자산 주석
config/synthetic/isaac_sim.yaml,(신규),"""procedural_texture_dir"": ""data/pallet/archive/_procedural_textures""",1,ADDED,procedural texture 경로 archive 이동 + 기본 출력 dir + 부재 자산 주석
scripts/data_prep/blender/gen_palletobj_v1.py,blender -b data/pallet/blender_scene/_sandbox_parking_lot_check.blend \,blender -b data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend \,1,FIXED,docstring 사용예 + save_as_mainfile 출력 경로(옛 폴더를 재생성했다) 정정
scripts/data_prep/blender/gen_palletobj_v1.py,"bpy.ops.wm.save_as_mainfile(filepath=""data/pallet/blender_scene/_sandbox_parking_lot_check.blend"", copy=True)","bpy.ops.wm.save_as_mainfile(filepath=""data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend"", copy=True)",1,FIXED,docstring 사용예 + save_as_mainfile 출력 경로(옛 폴더를 재생성했다) 정정
scripts/data_prep/blender/gen_preview10.py,blender -b data/pallet/blender_scene/synth_data_scene.blend \,"blender -b ""$(python scripts/data_prep/blender/pallet_data_paths.py --key production_scene)"" \",1,FIXED,docstring 사용예 -> registry 조회
scripts/data_prep/blender/gen_topview_test.py,blender -b data/pallet/blender_scene/synth_data_scene.blend \,"blender -b ""$(python scripts/data_prep/blender/pallet_data_paths.py --key production_scene)"" \",1,FIXED,docstring 사용예 -> registry 조회
scripts/data_prep/blender/run_addon_v1.sh,"SCENE=""${ROOT}/data/pallet/blender_scene/_sandbox_palletobj_production.blend""",# Stage 2-D0.1: blender_scene 이 assets/scenes/production/ 아래로 이동했다(Stage 2-C2).,1,FIXED,씬 경로 리터럴 -> pallet_data_paths.py --key experimental_scene
scripts/data_prep/blender/run_addon_v1.sh,(신규),"SCENE=""$(python ""${ROOT}/scripts/data_prep/blender/pallet_data_paths.py"" --key experimental_scene)""",1,ADDED,씬 경로 리터럴 -> pallet_data_paths.py --key experimental_scene
scripts/data_prep/blender/run_trunc_addon.py,data/pallet/blender_scene/_sandbox_palletobj_production.blend \,"""$(python scripts/data_prep/blender/pallet_data_paths.py --key experimental_scene)"" \",1,FIXED,sandbox 씬 -> registry experimental_scene
