old_reference,source_file,line,classification,action,new_reference,verified_exists,notes,raw_line
data/pallet/_efront_12kp_check/efront_measurements.json,scripts/data_prep/blender/efront_kp12.py,29,ACTIVE_RUNTIME,FIXED_STAGE2A,data/pallet/archive/_efront_12kp_check/efront_measurements.json,yes,docstring provenance 주석 경로 갱신 (런타임 아님),Source of the ratios: P0/P1 from data/pallet/_efront_12kp_check/efront_measurements.json
data/pallet/textures_floor,scripts/data_prep/blender/blender_config.py,196,ACTIVE_RUNTIME,FIXED_STAGE2A,data/pallet/archive/textures_floor,yes,"pallet_data_paths registry key ""floor_material_root"" 로 교체","os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet/textures_wood,scripts/data_prep/blender/blender_config.py,184,ACTIVE_RUNTIME,FIXED_STAGE2A,data/pallet/archive/textures_wood,yes,"pallet_data_paths registry key ""pallet_material_root"" 로 교체","os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""textures_wood"")"
data/pallet/_noai_quarantine_usd,_docs/dataset_license_ledger.md,60,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/_noai_quarantine_usd,yes,ledger 경로 정정,"- **① USD 격리**: `scene_2/3.usd` → `data/pallet/_noai_quarantine_usd/`(삭제X, provenance 보관, README) [확인]."
data/pallet/_noai_quarantine_usd/scene_2.usd,_docs/dataset_license_ledger.md,127,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/_noai_quarantine_usd/scene_2.usd,yes,ledger 경로 정정,P2 scene_2.usd data/pallet/_noai_quarantine_usd/scene_2.usd   Sketchfab  미확정 CC-BY|NoAI      N     B1(격리)
data/pallet/_noai_quarantine_usd/scene_3.usd,_docs/dataset_license_ledger.md,128,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/_noai_quarantine_usd/scene_3.usd,yes,ledger 경로 정정,P3 scene_3.usd data/pallet/_noai_quarantine_usd/scene_3.usd   Sketchfab  미확정 CC-BY|NoAI      N     B1(격리)
data/pallet/_procedural_textures,_docs/dataset_license_ledger.md,258,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/_procedural_textures,yes,ledger 경로 정정,_procedural_textures  data/pallet/_procedural_textures/ 절차생성(자작)  스크립트     자작(CC0급)      Y     -(현 미사용)
data/pallet/models_usd/scene,AGENTS.md,41,CURRENT_DOC,FIXED_STAGE2A,data/pallet/models_usd/,yes,AGENTS.md: CLAUDE.md 와 동일 정정,- USD 모델: `data/pallet/models_usd/scene*.usd` (4종 팔레트)
data/pallet/models_usd/scene,CLAUDE.md,41,CURRENT_DOC,FIXED_STAGE2A,data/pallet/models_usd/,yes,"CLAUDE.md: ""4종 팔레트"" -> 실제 구성(P0/P1/noemit + glb 2) + 격리 안내",- USD 모델: `data/pallet/models_usd/scene*.usd` (4종 팔레트)
data/pallet/textures_floor,_docs/dataset_license_ledger.md,257,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/textures_floor,yes,ledger 경로 정정,floor 텍스처 ×14      data/pallet/textures_floor/*.png  Poly Haven      Poly Haven  CC0 1.0(확정)    Y     B4 해소
data/pallet/textures_wood,_docs/dataset_license_ledger.md,256,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/textures_wood,yes,ledger 경로 정정,목재 텍스처 ×9        data/pallet/textures_wood/*.png   Poly Haven      Poly Haven  CC0 1.0(검증됨)  Y     -
data/pallet/train_4pallet_mask_v1,_docs/dataset_license_ledger.md,320,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/train_4pallet_mask_v1,yes,ledger 데이터셋 표 경로 정정,train_4pallet_mask_v1            data/pallet/train_4pallet_mask_v1/          B1(NoAI 목재 P2/P3 baked) [+ B5]
data/pallet/train_palletobj_addon_v1,_docs/dataset_license_ledger.md,319,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/train_palletobj_addon_v1,yes,ledger 데이터셋 표 경로 정정,train_palletobj_addon_v1         data/pallet/train_palletobj_addon_v1/       팔레트=자작 OBJ → B5(CC-BY occluder 표시)만
data/pallet/training_data,_docs/dataset_license_ledger.md,323,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/training_data,yes,ledger 데이터셋 표 경로 정정,training_data (구)               data/pallet/training_data/                  B1 가능 [+구 BG]
data/pallet/training_data_v4,_docs/dataset_license_ledger.md,322,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/training_data_v4,yes,ledger 데이터셋 표 경로 정정,training_data_v4 / _v4_split     data/pallet/training_data_v4*/              B1(NoAI 목재 P2/P3 baked) [+ B5]
data/pallet/trunc_addon_v1,_docs/dataset_license_ledger.md,321,CURRENT_DOC,FIXED_STAGE2A,data/pallet/archive/trunc_addon_v1,yes,ledger 데이터셋 표 경로 정정,trunc_addon_v1                   data/pallet/trunc_addon_v1/                 팔레트=자작 OBJ → B5만
data/pallet/$(basename,scripts/data_prep/blender/run_addon_v1.sh,59,EXAMPLE_ONLY,NO_CHANGE(예시/패턴 문자열),,n/a,,"LOG=""${ROOT}/data/pallet/$(basename ""$OUT"")_gen.log"""
data/pallet/_v2_usable50,scripts/data_prep/blender/run_v2_scene_logic.py,27,EXAMPLE_ONLY,NO_CHANGE(예시/패턴 문자열),,n/a,,--out data/pallet/_v2_usable50 --seed 7600 --n 50 \
data/pallet/_cam_test10,_docs/history/2026-06-16.md,369,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- `blender -b data/pallet/blender_scene/synth_data_scene.blend --python scripts/data_prep/blender/gen_dataset_v4.py -- --split train --start_idx 0 --num_frames 10 --seed 9300 --out_dir data/pallet/_ca
data/pallet/_cam_test10b/train,_docs/history/2026-06-16.md,412,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"### 결과 (seed9300, 10장, data/pallet/_cam_test10b/train/)"
data/pallet/_diag_pallet3,_docs/history/2026-06-16.md,329,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 진단: `data/pallet/_diag_pallet3/`(variant 그리드/HDRI 비교/clean crop)
data/pallet/_efront_12kp_check,_docs/history/2026-07-23.md,7,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,### 1. 기하 측정 (read-only) → `data/pallet/_efront_12kp_check/`
data/pallet/_efront_12kp_check/efront_measurements.json,scripts/data_prep/efront_calibration/README.md,11,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,- 출력 JSON = data/pallet/_efront_12kp_check/efront_measurements.json (대용량 산출물이라 gitignore)
data/pallet/_efront_12kp_check/kp12_validate,_docs/history/2026-07-23.md,25,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,### 5. 검증 (통과) → `data/pallet/_efront_12kp_check/kp12_validate/`
